file_name,result,runtime_ms,file_index
symcc-unsat-0.smt2,sat,29,1
symcc-unsat-1.smt2,sat,67,2
symcc-unsat-10.smt2,sat,254,3
symcc-unsat-11.smt2,sat,382,4
symcc-unsat-12.smt2,sat,453,5
symcc-unsat-13.smt2,sat,448,6
symcc-unsat-14.smt2,sat,1038,7
symcc-unsat-15.smt2,sat,433,8
symcc-unsat-16.smt2,sat,529,9
symcc-unsat-17.smt2,sat,510,10
symcc-unsat-18.smt2,sat,1067,11
symcc-unsat-19.smt2,sat,614,12
symcc-unsat-2.smt2,sat,68,13
symcc-unsat-20.smt2,sat,612,14
symcc-unsat-21.smt2,sat,1229,15
symcc-unsat-22.smt2,sat,1090,16
symcc-unsat-23.smt2,sat,745,17
symcc-unsat-24.smt2,sat,1302,18
symcc-unsat-25.smt2,sat,1182,19
symcc-unsat-26.smt2,sat,1197,20
symcc-unsat-27.smt2,sat,1177,21
symcc-unsat-28.smt2,sat,1183,22
symcc-unsat-29.smt2,sat,1435,23
symcc-unsat-3.smt2,sat,44,24
symcc-unsat-30.smt2,sat,1118,25
symcc-unsat-31.smt2,sat,3535,26
symcc-unsat-32.smt2,sat,3525,27
symcc-unsat-33.smt2,sat,1670,28
symcc-unsat-34.smt2,sat,1761,29
symcc-unsat-35.smt2,sat,1407,30
symcc-unsat-36.smt2,sat,70220,31
symcc-unsat-37.smt2,sat,1428,32
symcc-unsat-38.smt2,sat,1389,33
symcc-unsat-39.smt2,sat,1510,34
symcc-unsat-4.smt2,sat,77,35
symcc-unsat-40.smt2,sat,1518,36
symcc-unsat-41.smt2,sat,1712,37
symcc-unsat-42.smt2,sat,1730,38
symcc-unsat-5.smt2,sat,114,39
symcc-unsat-6.smt2,sat,114,40
symcc-unsat-7.smt2,sat,127,41
symcc-unsat-8.smt2,sat,281,42
symcc-unsat-9.smt2,sat,352,43
symcc-unsat-reset-21.smt2,sat,1065,44
